 spec_symbol , wgt , Genus , species , Taxa 
 DM , 45 , Dipodomys , merriami , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DM , 51 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 29 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 53 , Dipodomys , merriami , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 PF , 9 , Perognathus , flavus , Rodent 
 PP , 15 , Chaetodipus , penicillatus , Rodent 
 PF , 4 , Perognathus , flavus , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DM , 51 , Dipodomys , merriami , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 PE , 19 , Peromyscus , eremicus , Rodent 
 OX , 22 , Onychomys , sp. , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 OT , 21 , Onychomys , torridus , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 PE , 20 , Peromyscus , eremicus , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DM , 55 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 OL , 21 , Onychomys , leucogaster , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 OL , 21 , Onychomys , leucogaster , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 53 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DO , 33 , Dipodomys , ordii , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DO , 50 , Dipodomys , ordii , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 OT , 21 , Onychomys , torridus , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 31 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 23 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 RM , 13 , Reithrodontomys , megalotis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 31 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DO , 48 , Dipodomys , ordii , Rodent 
 DM , 29 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 OL , 23 , Onychomys , leucogaster , Rodent 
 DO , 31 , Dipodomys , ordii , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 PF , 8 , Perognathus , flavus , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DO , 41 , Dipodomys , ordii , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 25 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DO , 44 , Dipodomys , ordii , Rodent 
 DS , 117 , Dipodomys , spectabilis , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DS , 121 , Dipodomys , spectabilis , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 35 , Dipodomys , merriami , Rodent 
 DS , 115 , Dipodomys , spectabilis , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 35 , Dipodomys , merriami , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 PF , 6 , Perognathus , flavus , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DS , 120 , Dipodomys , spectabilis , Rodent 
 DO , 48 , Dipodomys , ordii , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DS , 118 , Dipodomys , spectabilis , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DS , 126 , Dipodomys , spectabilis , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DS , 132 , Dipodomys , spectabilis , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DS , 113 , Dipodomys , spectabilis , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DS , 122 , Dipodomys , spectabilis , Rodent 
 DS , 107 , Dipodomys , spectabilis , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 RM , 7 , Reithrodontomys , megalotis , Rodent 
 DS , 115 , Dipodomys , spectabilis , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DS , 116 , Dipodomys , spectabilis , Rodent 
 PF , 6 , Perognathus , flavus , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DS , 137 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DS , 126 , Dipodomys , spectabilis , Rodent 
 DS , 112 , Dipodomys , spectabilis , Rodent 
 DO , 39 , Dipodomys , ordii , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DS , 121 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 52 , Dipodomys , merriami , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DO , 40 , Dipodomys , ordii , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DM , 33 , Dipodomys , merriami , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DS , 116 , Dipodomys , spectabilis , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DO , 45 , Dipodomys , ordii , Rodent 
 DS , 116 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DS , 114 , Dipodomys , spectabilis , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DS , 134 , Dipodomys , spectabilis , Rodent 
 DS , 139 , Dipodomys , spectabilis , Rodent 
 DS , 118 , Dipodomys , spectabilis , Rodent 
 DO , 41 , Dipodomys , ordii , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 PF , 6 , Perognathus , flavus , Rodent 
 DS , 127 , Dipodomys , spectabilis , Rodent 
 PF , 6 , Perognathus , flavus , Rodent 
 DS , 120 , Dipodomys , spectabilis , Rodent 
 DS , 115 , Dipodomys , spectabilis , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DS , 114 , Dipodomys , spectabilis , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DS , 149 , Dipodomys , spectabilis , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DS , 127 , Dipodomys , spectabilis , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DS , 138 , Dipodomys , spectabilis , Rodent 
 DS , 110 , Dipodomys , spectabilis , Rodent 
 DS , 110 , Dipodomys , spectabilis , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DS , 121 , Dipodomys , spectabilis , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 PF , 8 , Perognathus , flavus , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DS , 122 , Dipodomys , spectabilis , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DO , 42 , Dipodomys , ordii , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 PE , 22 , Peromyscus , eremicus , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 35 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DS , 117 , Dipodomys , spectabilis , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DS , 122 , Dipodomys , spectabilis , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DS , 117 , Dipodomys , spectabilis , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DS , 132 , Dipodomys , spectabilis , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DS , 150 , Dipodomys , spectabilis , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DS , 126 , Dipodomys , spectabilis , Rodent 
 DS , 122 , Dipodomys , spectabilis , Rodent 
 DS , 136 , Dipodomys , spectabilis , Rodent 
 DS , 116 , Dipodomys , spectabilis , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DS , 135 , Dipodomys , spectabilis , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DS , 133 , Dipodomys , spectabilis , Rodent 
 DS , 136 , Dipodomys , spectabilis , Rodent 
 DS , 141 , Dipodomys , spectabilis , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DM , 35 , Dipodomys , merriami , Rodent 
 DS , 135 , Dipodomys , spectabilis , Rodent 
 DM , 33 , Dipodomys , merriami , Rodent 
 DM , 51 , Dipodomys , merriami , Rodent 
 DS , 122 , Dipodomys , spectabilis , Rodent 
 DM , 33 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 OT , 24 , Onychomys , torridus , Rodent 
 DS , 157 , Dipodomys , spectabilis , Rodent 
 DM , 51 , Dipodomys , merriami , Rodent 
 NA , 218 , Neotoma , albigula , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 52 , Dipodomys , merriami , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 DM , 51 , Dipodomys , merriami , Rodent 
 DS , 126 , Dipodomys , spectabilis , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 OT , 24 , Onychomys , torridus , Rodent 
 OT , 23 , Onychomys , torridus , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 OT , 25 , Onychomys , torridus , Rodent 
 PE , 25 , Peromyscus , eremicus , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 OT , 23 , Onychomys , torridus , Rodent 
 DS , 124 , Dipodomys , spectabilis , Rodent 
 DS , 114 , Dipodomys , spectabilis , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DS , 132 , Dipodomys , spectabilis , Rodent 
 DS , 137 , Dipodomys , spectabilis , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 56 , Dipodomys , merriami , Rodent 
 OL , 35 , Onychomys , leucogaster , Rodent 
 NA , 197 , Neotoma , albigula , Rodent 
 OT , 22 , Onychomys , torridus , Rodent 
 OT , 25 , Onychomys , torridus , Rodent 
 DS , 154 , Dipodomys , spectabilis , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 35 , Dipodomys , merriami , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DS , 133 , Dipodomys , spectabilis , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 NA , 228 , Neotoma , albigula , Rodent 
 DS , 144 , Dipodomys , spectabilis , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 PF , 8 , Perognathus , flavus , Rodent 
 DS , 133 , Dipodomys , spectabilis , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 NA , 232 , Neotoma , albigula , Rodent 
 DS , 128 , Dipodomys , spectabilis , Rodent 
 DS , 153 , Dipodomys , spectabilis , Rodent 
 OT , 22 , Onychomys , torridus , Rodent 
 OT , 21 , Onychomys , torridus , Rodent 
 DM , 53 , Dipodomys , merriami , Rodent 
 PF , 8 , Perognathus , flavus , Rodent 
 OT , 25 , Onychomys , torridus , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 OL , 38 , Onychomys , leucogaster , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 OT , 26 , Onychomys , torridus , Rodent 
 DS , 146 , Dipodomys , spectabilis , Rodent 
 OT , 25 , Onychomys , torridus , Rodent 
 PE , 28 , Peromyscus , eremicus , Rodent 
 PF , 8 , Perognathus , flavus , Rodent 
 PE , 29 , Peromyscus , eremicus , Rodent 
 DS , 122 , Dipodomys , spectabilis , Rodent 
 DS , 137 , Dipodomys , spectabilis , Rodent 
 DS , 131 , Dipodomys , spectabilis , Rodent 
 DS , 125 , Dipodomys , spectabilis , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DS , 69 , Dipodomys , spectabilis , Rodent 
 DS , 141 , Dipodomys , spectabilis , Rodent 
 DS , 138 , Dipodomys , spectabilis , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DS , 124 , Dipodomys , spectabilis , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 OT , 26 , Onychomys , torridus , Rodent 
 DS , 152 , Dipodomys , spectabilis , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 OT , 29 , Onychomys , torridus , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 51 , Dipodomys , merriami , Rodent 
 DO , 57 , Dipodomys , ordii , Rodent 
 DS , 134 , Dipodomys , spectabilis , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 OL , 30 , Onychomys , leucogaster , Rodent 
 OT , 35 , Onychomys , torridus , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DS , 146 , Dipodomys , spectabilis , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DS , 110 , Dipodomys , spectabilis , Rodent 
 DM , 26 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 OT , 27 , Onychomys , torridus , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DM , 51 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DS , 90 , Dipodomys , spectabilis , Rodent 
 OT , 23 , Onychomys , torridus , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DS , 131 , Dipodomys , spectabilis , Rodent 
 DS , 114 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DS , 148 , Dipodomys , spectabilis , Rodent 
 DS , 76 , Dipodomys , spectabilis , Rodent 
 DS , 141 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DS , 121 , Dipodomys , spectabilis , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DO , 55 , Dipodomys , ordii , Rodent 
 DS , 133 , Dipodomys , spectabilis , Rodent 
 DS , 142 , Dipodomys , spectabilis , Rodent 
 DS , 142 , Dipodomys , spectabilis , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 DS , 142 , Dipodomys , spectabilis , Rodent 
 DS , 84 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DS , 142 , Dipodomys , spectabilis , Rodent 
 DS , 118 , Dipodomys , spectabilis , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DS , 132 , Dipodomys , spectabilis , Rodent 
 DS , 75 , Dipodomys , spectabilis , Rodent 
 DM , 49 , Dipodomys , merriami , Rodent 
 DS , 168 , Dipodomys , spectabilis , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DS , 84 , Dipodomys , spectabilis , Rodent 
 DS , 87 , Dipodomys , spectabilis , Rodent 
 DS , 117 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DS , 140 , Dipodomys , spectabilis , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 NA , 225 , Neotoma , albigula , Rodent 
 OT , 18 , Onychomys , torridus , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DS , 89 , Dipodomys , spectabilis , Rodent 
 DM , 51 , Dipodomys , merriami , Rodent 
 PF , 8 , Perognathus , flavus , Rodent 
 DM , 47 , Dipodomys , merriami , Rodent 
 DS , 149 , Dipodomys , spectabilis , Rodent 
 DS , 124 , Dipodomys , spectabilis , Rodent 
 DS , 73 , Dipodomys , spectabilis , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DS , 139 , Dipodomys , spectabilis , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DS , 123 , Dipodomys , spectabilis , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DS , 114 , Dipodomys , spectabilis , Rodent 
 DS , 59 , Dipodomys , spectabilis , Rodent 
 NA , 204 , Neotoma , albigula , Rodent 
 DS , 90 , Dipodomys , spectabilis , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 NA , 212 , Neotoma , albigula , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DS , 91 , Dipodomys , spectabilis , Rodent 
 DS , 50 , Dipodomys , spectabilis , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DS , 113 , Dipodomys , spectabilis , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DS , 90 , Dipodomys , spectabilis , Rodent 
 DM , 50 , Dipodomys , merriami , Rodent 
 OT , 9 , Onychomys , torridus , Rodent 
 OL , 29 , Onychomys , leucogaster , Rodent 
 DS , 137 , Dipodomys , spectabilis , Rodent 
 DS , 57 , Dipodomys , spectabilis , Rodent 
 DS , 121 , Dipodomys , spectabilis , Rodent 
 DM , 31 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DS , 83 , Dipodomys , spectabilis , Rodent 
 NA , 174 , Neotoma , albigula , Rodent 
 DS , 116 , Dipodomys , spectabilis , Rodent 
 DS , 74 , Dipodomys , spectabilis , Rodent 
 DS , 130 , Dipodomys , spectabilis , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 NA , 212 , Neotoma , albigula , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DS , 83 , Dipodomys , spectabilis , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DS , 118 , Dipodomys , spectabilis , Rodent 
 PM , 22 , Peromyscus , maniculatus , Rodent 
 DS , 102 , Dipodomys , spectabilis , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 NA , 182 , Neotoma , albigula , Rodent 
 DM , 29 , Dipodomys , merriami , Rodent 
 DM , 23 , Dipodomys , merriami , Rodent 
 DS , 138 , Dipodomys , spectabilis , Rodent 
 DS , 131 , Dipodomys , spectabilis , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DS , 115 , Dipodomys , spectabilis , Rodent 
 DS , 121 , Dipodomys , spectabilis , Rodent 
 DM , 38 , Dipodomys , merriami , Rodent 
 DS , 126 , Dipodomys , spectabilis , Rodent 
 DS , 120 , Dipodomys , spectabilis , Rodent 
 PP , 15 , Chaetodipus , penicillatus , Rodent 
 DM , 29 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
